Variable                            Units           Mean                           Max                            Min
============================================================================================================================================
surface_air_pressure                hPa             -17.218275108228212            125.98837560250956             -116.21514448173377
air_temperature                     degK            -0.001439175158419313          10.301554509456565             -9.487683075233008
eastward_wind                       m s^-1          -0.008687656703170047          12.454588510661221             -12.136702574281294
northward_wind                      m s^-1          -0.0001687665582084029         13.40795508715917              -13.023190823956243
divergence_of_wind                  s^-1            1.8786100429009031e-07         9.624579592697228e-05          -7.428192262158134e-05
atmosphere_relative_vorticity       s^-1            4.289130784530477e-08          0.0002495849632014036          -0.00017578076550580222
surface_geopotential                m^2 s^-2        0.0                            0.0                            0.0
specific_humidity                   kg/kg           1.5661132685030692e-08         0.0037377919542118908          -0.0041405421425608855
